ID	parentID	basionymID	rank	etymology	vernacularName	scientificName	authorship	namePublishedInYear	nameReferenceID	extinct	kingdom	phylum	class	order	family	references	imageURL	imageLicense	imageCreator	imageLink
43			species	David Attenborough	Sir David s Long-beaked Echidna	Zaglossus attenboroughi	Flannery & Groves, 1998	1998	FLANNERY_1998		Animalia	Chordata	Mammalia		Tachyglossidae					
44			species	Greedo		Peckoltia greedoi	Armbruster et al.	1998	Armbruster_2015		Animalia									
45			species	Neil Young		Myrmekiaphila neilyoungi	Jason Bond	2007			Animalia	Arthropoda	Arachnida							
46			species	Roy Orbison		Orectochilus orbisonorum		2008			Animalia	Arthropoda		Coleoptera						
47			species	Freddie Mercury		Cirolana mercuryi					Animalia	Arthropoda								
48			species	Jerry Garcia		Cryptocercus garciai 					Animalia	Arthropoda	Insecta							
49			species	Green Day		Macrocarpaea dies-viridis					Plantae									
50			species	Frank Zappa		Pachygnatha zappa					Animalia	Arthropoda	Arachnida							
51		52	species	Sting		Dendropsophus stingi	(Kaplan, 1994)	2005			Animalia	Chordata	Amphibia	Anura	Hylidae					
52	51		species	Sting		Hyla stingi 	Kaplan, 1994	1994	Kaplan_1994		Animalia	Chordata	Amphibia	Anura	Hylidae					
53			species	Elvis Presley		Preseucoela imallshookupis	Buffington, 2004	2004			Animalia	Arthropoda	Insecta	Hymenoptera	Figitidae	http://www.mapress.com/zootaxa/2004f/zt00408.pdf				
54			species	Brian Eno		Pseudocorinna brianeno	Jocqué & Bosselaers	2011	JOCQUE_2011		Animalia	Arthropoda	Arachnida	Araneae						
55			species	James Taylor		Anacroneuria taylori 					Animalia	Arthropoda	Insecta							
56			species	Carole King		Anacroneuria carole 					Animalia	Arthropoda	Insecta							
57			species	James Brown		Funkotriplogynium iagobadius	Seeman & Walter, 1997	1997			Animalia	Arthropoda	Arachnida	Mesostigmata						
58			species	Barack and Michelle Obama		Teleogramma obamaorum	Stiassny & Alter, 2015	2015	Stiassny_2015	FALSE	Animalia	Chordata			Cichlidae	http://www.fishbase.org/summary/67778				
59			species	Barack Obama		Tosanoides obama	Pyle, Greene & Kosaki	2016	Pyle_2016	FALSE	Animalia	Chordata		Perciformes	Serranidae	http://zoobank.org/18C72D73-00C3-40E4-B27F-FA7748A1251E				
60			genus	Barack Obama		Obamadon	Longrich et al., 2013	2013	pnas.1303907110	TRUE	Animalia	Chordata	Reptilia	Squamata						
61			species	Barack Obama		Obamadon gracillis	Longrich et al., 2013	2013	pnas.1303907110	TRUE	Animalia	Chordata	Reptilia	Squamata						
62			genus	Barack Obama		Baracktrema	Roberts et al., 2016	2016	Roberts_2016	FALSE	Animalia	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae					
63			species	Barack Obama		Baracktrema obamai	Roberts et al., 2016	2016	Roberts_2016	FALSE	Animalia	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae					
64			species	Barack Obama		Etheostoma obama	Mayden & Layman, 2012	2012	Layman_2012	FALSE	Animalia	Chordata		Perciformes	Percidae	http://specifyassets.nhm.ku.edu/Ichthyology/originals/sp62866480801339482162.att.pdf				
65			species	Barack Obama		Caloplaca obamae	Knudsen, 2009	2009	Knudsen_2009	FALSE	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	http://sweetgum.nybg.org/images3/250/136/op6p2.pdf				
66			species	Barack Obama		Aptostichus barackobamai	Bond, 2012	2012	Bond_2012	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Euctenizidae	https://en.wikipedia.org/wiki/Aptostichus_barackobamai				
67			species	Barack Obama		Paragordius obamai	Hanelt, 2012	2012	Hanelt_2012	FALSE	Animalia	Nematomorpha								
68			species	Barack Obama		Nystalus obamai	Whitney, Piacentini, Schunck, Aleixo, Sousa, Silveira & Rego, 2013	2013		FALSE	Animalia	Chordata	Aves		Bucconidae	http://zoobank.org/NomenclaturalActs/3DCEBC85-2A85-43B5-B84F-6BB705E1AE70				
69			species	Donald Trump		Neopalpa donaldtrumpi	Nazari, 2017	2017	Nazari_2017	FALSE	Animalia	Arthropoda	Insecta	Lepidoptera		https://doi.org/10.3897/zookeys.646.11411				
70			species	Donald Trump		Tetragramma donaldtrumpi	Thompson, 2016	2016	Thompson_2016	TRUE	Animalia	Echinodermata	Echinoidea		Pseudodiadematidae	http://zoobank.org/NomenclaturalActs/C0F80BB8-728C-4151-B639-C764B5D8FA4A	http://hips.htvapps.com/htv-prod-media.s3.amazonaws.com/images/tetragramma-donaldtrumpi-1478487709.png			
71	72		subspecies	Theodore Roosevelt		Cervus elaphus roosevelti	Merriam, 1897	1897		FALSE	Animalia					http://explorer.natureserve.org/servlet/NatureServe?searchName=Cervus+elaphus+roosevelti				
72		71	subspecies	Theodore Roosevelt	Roosevelt Elk	Cervus canadensis roosevelti	(Merriam, 1897)			FALSE	Animalia	Chordata	Mammalia		Cervidae	https://en.wikipedia.org/wiki/Elk#Taxonomy				
73			species	Theodore Roosevelt	Roosvelt's Shrew	Crocidura roosevelti	(Heller, 1910)			FALSE	Animalia	Chordata	Mammalia	Eulipotyphla	Soricidae	http://www.iucnredlist.org/details/41355/0				
74			species	Theodore Roosevelt		Pheidole roosevelti	Mann, 1921	1921	zenodo.25892	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	http://hol.osu.edu/index.html?id=33974				
75			species	Isabella Rossellini		Ptomaphaginus isabellarossellini	Schilthuizen, Njunjić & Perreau, 2018	2018	Schilthuizen_2018	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	http://zoobank.org/87C3F9D7-6CBD-4351-B96F-307A65F0716D				
76			species	David Attenborough		Kingsleya attenboroughi	Pinheiro & Santana, 2016	2016	PINHEIRO_2016	FALSE	Animalia	Arthropoda	Malacostraca	Decapoda	Pseudothelphusidae					
77			species	David Attenborough		Micridium attenboroughi	Darby, 2017	2017	DARBY_2017	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	http://zoobank.org/0DD1868D-4EF5-4FB7-AEE9-372644800A79				
78			species	David Attenborough		Acisoma attenboroughi	Mens, Schutte, Stokvis & Dijkstra, 2016		MENS_2016	FALSE	Animalia	Arthropoda	Insecta	Odonata	Libellulidae					
79			species	David Attenborough		Ctenocheloides attenboroughi	Anker, 2010	2010	Anker_2010	FALSE	Animalia	Arthropoda	Malacostraca	Decapoda	Callianassidae					
80			species	David Attenborough		Palaina attenboroughi	Greke, 2017	2017	Greke_2017	FALSE	Animalia	Mollusca	Gastropoda	Architaenioglossa	Diplommatinidae	http://zoobank.org/a9e64f72-c826-4226-8e64-8be0d34b43dd				
81			species	David Attenborough	Attenborough’s Flat Lizard 	Platysaurus attenboroughi	Whiting, Branch, Pepper & Keogh, 2015	2015	WHITING_2015	TRUE	Animalia	Chordata	Reptilia	Squamata						
82			species	David Attenborough		Materpiscis attenboroughi	Long, Trinajstic, Young & Senden, 2008	2008	Long_2008	TRUE	Animalia	Chordata	Placodermi	Ptyctodontida	Ptyctodontidae	https://www.nature.com/articles/nature06966				
83			species	David Attenborough		Cavisternum attenboroughi	Baehr & Raven, 2013	2013	BAEHR_2013	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Oonopidae					
84			species	David Attenborough		Apoleptomastix attenboroughi	Noyes & Hayat, 1994	1994		FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae					
85			species	David Attenborough		Succinalophus attenboroughi	Legalov, 2016	2016		FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae					
86			genus	Lou Reed		Loureedia	Miller 2012	2012	Miller_2012	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Eresidae	https://zookeys.pensoft.net/articles.php?id=2798				
87			species	Emperor Akihito		Exyrias akihito	Allen & Randall, 2005	2005	Allen_2005	FALSE	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	http://zoobank.org/NomenclaturalActs/c0ab159e-00c8-481b-8d3a-2762082df33d				
88			species	Edward Osborne Wilson		Pheidole eowilsoni	Longino, 2009	2009	Longino_2009	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	https://www.mapress.com/zootaxa/list/2009/zt02181.html				
89			species	Joni Mitchell		Cortinarius jonimitchelliae	H. Lindstr., Dima, Kytöv., Liimat. & Niskanen	2016	Dima_2016	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricales	Cortinariaceae	doi:10.1007/s11557-016-1217-5				
90			species	Greta Thunberg		Nelloptodes gretae	Darby, 2019	2019	Darby_2019	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	https://www.ingentaconnect.com/content/pemberley/emm/2019/00000155/00000004/art00007				
91			species	Arnold Schwarzenegger		Agra schwarzeneggeri	Erwin, 2002	2002	ERWIN_2002	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	https://biotaxa.org/Zootaxa/article/view/zootaxa.119.1.1				
93			species	Barack Obama		Spintharus barackobamai	Agnarsson & Sargeant, 2018	2018	Agnarsson_2017	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	https://www.eurekalert.org/pub_releases/2017-09/oupu-csn092617.php				
94			species	Bernie Sanders		Spintharus berniesandersi	Agnarsson & Sargeant, 2018	2018	Agnarsson_2017	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	https://www.eurekalert.org/pub_releases/2017-09/oupu-csn092617.php				
95			species	David Attenborough		Spintharus davidattenboroughi	Agnarsson & Sargeant, 2018	2018	Agnarsson_2017	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	https://www.eurekalert.org/pub_releases/2017-09/oupu-csn092617.php				
96			species	David Bowie		Spintharus davidbowiei	Agnarsson & Sargeant, 2018	2018	Agnarsson_2017	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	https://www.eurekalert.org/pub_releases/2017-09/oupu-csn092617.php				
97			species	Leonardo DiCaprio		Spintharus leonardodicaprioi	Agnarsson & Sargeant, 2018	2018	Agnarsson_2017	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	https://www.eurekalert.org/pub_releases/2017-09/oupu-csn092617.php				
98			species	Michelle Obama		Spintharus michelleobamaae	Agnarsson & Sargeant, 2018	2018	Agnarsson_2017	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	https://www.eurekalert.org/pub_releases/2017-09/oupu-csn092617.php				
99			species	Vicki Funk		Proterops vickifunkae	Sharkey, 2021	2021	Sharkey_2021	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	https://doi.org/10.3897/zookeys.1013.55600				
100			species	Hu Ge & Koo Tin-lok		Nemoura hugekootinlokorum	Wang in Wang & Guo, 2021	2021	IJE_2021_101001	FALSE	Animalia	Arthropoda	Insecta	Plecoptera	Nemouridae	http://zoobank.org/NomenclaturalActs/d855da2a-f220-46f6-b540-50ea7ec52e77				
101			species	Leonardo DiCaprio		Grouvellinus leonardodicaprioi	Freitag, Pangantihon & Njunjić, 2018	2018	Freitag_2018	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Elmidae	https://doi.org/10.3897/zookeys.754.24276				
102			species	Kate Winslet		Agra katewinsletae	Erwin, 2002	2002	ERWIN_2002	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	https://doi.org/10.11646/zootaxa.119.1.1				
103			species	Matt Groening		Albunea groeningi	Boyko, 2002	2002	KUMAR_2020	FALSE	Animalia	Arthropoda	Malacostraca	Decapoda	Albuneidae	https://doi.org/10.11646/zootaxa.4766.4.5				
104			species	Matt Groening		Bufonaria borisbeckeri	Parth, 1996	1996	Parth_1996	FALSE	Animalia	Mollusca	Gastropoda		Bursidae	http://www.marinespecies.org/aphia.php?p=taxdetails&id=476458				
105			species	Jeff Daniels		Tarantobelus jeffdanielsi	Schurkman, Anesko, Abolafia, Tandingan De Ley & Dillman, 2022	2022	Schurkman_2022	FALSE	Animalia	Nematoda	Secernentea	Tylenchida	Panagrolaimidae	http://zoobank.org/NomenclaturalActs/8de3e8eb-9465-4436-b372-8e7bd63fbf7a				
106			species	Edward O. Wilson		Pheidole eowilsoni	Longino, 2009	2009	Longino_2009	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	http://zoobank.org/NomenclaturalActs/eee26378-7666-404b-93c6-71a0ded667d2				
107			species	Edward O. Wilson		Aenictus wilsoni	Bharti, Wachkoo & Kumar, 2012	2012	Bharti_2012	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	https://doi.org/10.1016/j.aspen.2012.02.002				
108			species	Edward O. Wilson		Aphaenogaster wilsoni	Cagniant, 1988	1988	x1	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	https://www.antweb.org/description.do?genus=aphaenogaster&species=wilsoni&rank=species&museumCode=KGAC				
109			species	Edward O. Wilson		Apterostigma eowilsoni	Schultz, 2007	2007	x2	TRUE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	https://antwiki.org/wiki/Apterostigma_eowilsoni				
